ID;Domain;TopDomain;cname;ip
33141;www.eqselection.eu;eqselection.eu;eqselection.eu;109.106.166.16
2196;psychometric-services.eu;psychometric-services.eu;psychometric-services.eu;109.110.225.50
3225;www.cs-advocaten.eu;cs-advocaten.eu;www.cs-advocaten.eu;109.72.85.101
3225;www.cs-advocaten.eu;cs-advocaten.eu;www.cs-advocaten.eu;109.72.85.101
49945;bidauctions.eu;bidauctions.eu;bidauctions.eu;115.124.100.154
49945;bidauctions.eu;bidauctions.eu;bidauctions.eu;115.124.100.154
7954;www.bidauctions.eu;bidauctions.eu;bidauctions.eu;115.124.100.154
63466;www.inspiremagazine.eu;inspiremagazine.eu;inspiremagazine.eu;115.124.110.98
2766;visapoint.eu;visapoint.eu;visapoint.eu;121.127.13.86
2766;visapoint.eu;visapoint.eu;visapoint.eu;121.127.13.86
39461;www.visapoint.eu;visapoint.eu;www.visapoint.eu;121.127.13.86
39461;www.visapoint.eu;visapoint.eu;www.visapoint.eu;121.127.13.86
89329;1yoga.eu;1yoga.eu;1yoga.eu;12.184.45.77
47708;www.1yoga.eu;1yoga.eu;www.1yoga.eu;12.184.45.77
3075;www.brahma-viharas.eu;brahma-viharas.eu;www.brahma-viharas.eu;12.184.45.77
3075;www.brahma-viharas.eu;brahma-viharas.eu;www.brahma-viharas.eu;12.184.45.77
41567;milepost.eu;milepost.eu;milepost.eu;129.215.212.14
98619;www.neuron-eranet.eu;neuron-eranet.eu;www.neuron-eranet.eu;129.247.247.229
72806;www.ecn.eu;ecn.eu;www.ecn.eu;130.112.251.5
95059;dgc.eu;dgc.eu;dgc.eu;130.226.157.166
33014;www.dgc.eu;dgc.eu;ws3.dgc.eu;130.226.157.166
88495;www.membaq.eu;membaq.eu;octopus.dhi.dk.;130.226.168.15
88495;www.membaq.eu;membaq.eu;octopus.dhi.dk.;130.226.168.15
88954;www.stemstroke.eu;stemstroke.eu;www.stemstroke.eu;130.235.108.240
88954;www.stemstroke.eu;stemstroke.eu;www.stemstroke.eu;130.235.108.240
38386;www.gamesatlarge.eu;gamesatlarge.eu;gamesatlarge.eu;130.251.133.159
13482;www.golem-project.eu;golem-project.eu;www.golem-project.eu;131.155.58.119
24046;www.petamedia.eu;petamedia.eu;webhosting.tudelft.nl.;131.180.79.29
53170;www.ecnp.eu;ecnp.eu;www.ecnp.eu;131.211.146.39
15634;escapeproject.eu;escapeproject.eu;escapeproject.eu;131.211.172.135
39490;www.weave-network.eu;weave-network.eu;weave-network.eu;131.211.194.47
58828;www.nanoimpactnet.eu;nanoimpactnet.eu;www.nanoimpactnet.eu;131.224.248.233
55836;gesa-online.eu;gesa-online.eu;gesa-online.eu;134.102.14.229
58342;www.geomon.eu;geomon.eu;www.geomon.eu;134.157.45.217
17999;www.calmaro.eu;calmaro.eu;amrum.ifm-geomar.de.;134.245.208.17
38091;www.difis.eu;difis.eu;public.ifremer.fr.;134.246.142.1
89469;aquaevidence.eu;aquaevidence.eu;aquaevidence.eu;134.58.242.2
37220;sprecomah.eu;sprecomah.eu;sprecomah.eu;134.58.242.2
27945;www.ccle.eu;ccle.eu;www2.cc.kuleuven.be.;134.58.242.2
19294;www.socialcohesion.eu;socialcohesion.eu;www2.cc.kuleuven.be.;134.58.242.2
34237;www.sprecomah.eu;sprecomah.eu;www2.cc.kuleuven.be.;134.58.242.2
82065;unicore.eu;unicore.eu;unicore.eu;134.94.100.146
97287;wiki.icestars.eu;icestars.eu;wiki.icestars.eu;134.95.19.39
70465;ford.eu;ford.eu;ford.eu;136.8.154.32
35503;epip.eu;epip.eu;epip.eu;137.120.84.253
35503;epip.eu;epip.eu;epip.eu;137.120.84.253
3416;www.epip.eu;epip.eu;www.epip.eu;137.120.84.253
8829;www.lcga.eu;lcga.eu;www.lcga.eu;137.191.226.163
38908;www.net4voice.eu;net4voice.eu;www.net4voice.eu;137.204.24.69
95298;europeanvaluesstudy.eu;europeanvaluesstudy.eu;europeanvaluesstudy.eu;137.56.0.224
92951;www.europeanvaluesstudy.eu;europeanvaluesstudy.eu;currentweb.uvt.nl.;137.56.0.224
