ID;UserID;Date;Hosting Type;Language;Adult Content;Other Problem;Web Spam;News/Editorial;Commercial;Educational/Research;Discussion;Personal/Leisure;Media;Database;Readability-Vis;Readability-Lang;Neutrality;Bias;Trustiness;Confidence;auto_lang
10221;21;26-MAR-10 14:11:34;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;Commercial;NonEducational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;2;2;2;Sure;de
5154;21;26-MAR-10 13:10:01;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;2;2;2;Sure;de
59769;20;26-MAR-10 14:57:25;;;;OtherProblem;;;;;;;;;;;;;;;de
74416;22;26-MAR-10 16:02:41;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;NonEducational;NonDiscussion;Personal-Leisure;NonMedia;NonDatabase;2;2;;;;Sure;de
15183;20;26-MAR-10 14:43:45;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;Commercial;NonEducational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;de
25323;22;26-MAR-10 15:31:44;;;;OtherProblem;;;;;;;;;;;;;;;de
39802;21;26-MAR-10 13:06:26;;unknown;;;;;;;;;;;;;;;;;de
59724;21;26-MAR-10 12:10:02;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;Commercial;NonEducational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;2;2;2;Sure;de
45131;20;25-MAR-10 16:10:39;HTNormal;de;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;2;Sure;de
423;22;26-MAR-10 15:47:33;;unknown;;;;;;;;;;;;;;;;;de
40228;21;26-MAR-10 11:36:05;;TooFewText;;;;;;;;;;;;;;;;;de
