ID;Domain;TopDomain;cname;ip
14883;archives.it-sudparis.eu;it-sudparis.eu;cours3.it-sudparis.eu;157.159.10.161
94549;anne.deschuyteneer.eu;deschuyteneer.eu;anne.deschuyteneer.eu;158.64.14.86
94549;anne.deschuyteneer.eu;deschuyteneer.eu;anne.deschuyteneer.eu;158.64.14.86
39707;abilitic.eu;abilitic.eu;abilitic.eu;158.64.4.126
7787;www.abilitic.eu;abilitic.eu;www.abilitic.eu;158.64.4.126
47977;www.catherinetrautmann.eu;catherinetrautmann.eu;catherinetrautmann.eu;174.133.218.244
64666;alamer.eu;alamer.eu;alamer.eu;174.36.200.124
54782;api-meal.eu;api-meal.eu;api-meal.eu;188.165.49.129
42610;webmail.telecom-bretagne.eu;telecom-bretagne.eu;vsp-webcache-s-02.enst-bretagne.fr.;192.108.117.227
26773;perso-info.telecom-bretagne.eu;telecom-bretagne.eu;web-srv-01.enst-bretagne.fr.;192.44.76.253
9870;annuaire.de-cul.eu;de-cul.eu;annuaire.de-cul.eu;193.138.90.61
89419;alameda2.eu;alameda2.eu;alameda2.eu;193.200.60.236
54775;annuairevoyance.eu;annuairevoyance.eu;annuairevoyance.eu;193.28.233.199
29721;affectations.ensam.eu;ensam.eu;ezp.ensam.eu;193.48.193.107
97362;www.affectations.ensam.eu;ensam.eu;ezp.ensam.eu;193.48.193.107
24887;apps.etre.ensam.eu;ensam.eu;apps.etre.ensam.eu;193.48.193.95
97045;tl1tech.telecom-lille1.eu;telecom-lille1.eu;telnet.telecom-lille1.eu;193.48.251.196
29829;art-metal-sculpture.eu;art-metal-sculpture.eu;art-metal-sculpture.eu;194.146.224.100
13687;www.jouets-intimes.eu;jouets-intimes.eu;boutique.nc84.com.;194.146.225.187
89486;artisanat-gr.eu;artisanat-gr.eu;artisanat-gr.eu;194.154.217.85
25891;future-generation.eu;future-generation.eu;future-generation.eu;194.154.217.85
72860;www.enghien.eu;enghien.eu;www.enghien.eu;194.183.224.115
84393;alterego-communication.eu;alterego-communication.eu;alterego-communication.eu;194.242.114.96
84393;alterego-communication.eu;alterego-communication.eu;alterego-communication.eu;194.242.114.96
95442;fr.trans.eu;trans.eu;fr.trans.eu;194.50.89.107
19940;assurtours.eu;assurtours.eu;assurtours.eu;195.114.18.91
29857;assurance-chien.eu;assurance-chien.eu;assurance-chien.eu;195.114.19.53
52976;www.college-saintpierre.eu;college-saintpierre.eu;www.college-saintpierre.eu;195.144.11.42
3153;www.cerimes.eu;cerimes.eu;www.cerimes.fr.;195.154.234.235
49826;arthenyce.eu;arthenyce.eu;arthenyce.eu;195.246.158.81
27215;sous-traiter.eu;sous-traiter.eu;sous-traiter.eu;195.25.165.129
19100;www.puisney.eu;puisney.eu;puisney.eu;195.42.120.22
84341;a-b-m.eu;a-b-m.eu;a-b-m.eu;195.47.247.102
16029;graphobel.eu;graphobel.eu;graphobel.eu;195.47.247.125
19836;aiace-be.eu;aiace-be.eu;aiace-be.eu;195.47.247.137
47742;www.aiace-be.eu;aiace-be.eu;www.aiace-be.eu;195.47.247.137
39705;abcengineering.eu;abcengineering.eu;abcengineering.eu;195.47.247.97
79410;archifr.eu;archifr.eu;archifr.eu;195.64.164.87
73729;www.quindiblog.eu;quindiblog.eu;quindi.typepad.com.;204.9.177.195
64718;annonce123.eu;annonce123.eu;annonce123.eu;205.151.16.154
74940;deligne.eu;deligne.eu;www.deligne.eu;212.227.124.37
31529;microecoles.eu;microecoles.eu;microecoles.eu;212.227.32.39
24748;2v2.eu;2v2.eu;2v2.eu;213.133.34.221
14792;agefos-pme.eu;agefos-pme.eu;agefos-pme.eu;213.139.98.1
19868;amiecontebeauty.eu;amiecontebeauty.eu;amiecontebeauty.eu;213.171.218.213
14884;ardm.eu;ardm.eu;ardm.eu;213.186.33.16
14899;aryv.eu;aryv.eu;aryv.eu;213.186.33.18
27963;www.chasse.eu;chasse.eu;chasse.eu;213.186.33.18
79254;1-credit.eu;1-credit.eu;1-credit.eu;213.186.33.19
9791;abci.eu;abci.eu;abci.eu;213.186.33.19
79365;alloconsultant.eu;alloconsultant.eu;alloconsultant.eu;213.186.33.19
64680;alsace.djamilasonzogni.eu;djamilasonzogni.eu;alsace.djamilasonzogni.eu;213.186.33.19
14868;apimage.eu;apimage.eu;apimage.eu;213.186.33.19
34772;apmbelux.eu;apmbelux.eu;apmbelux.eu;213.186.33.19
29823;armelguerne.eu;armelguerne.eu;armelguerne.eu;213.186.33.19
5012;artiste-contemporain.eu;artiste-contemporain.eu;artiste-contemporain.eu;213.186.33.19
74464;asfv.eu;asfv.eu;asfv.eu;213.186.33.19
65698;freejonas.unzero.eu;unzero.eu;freejonas.unzero.eu;213.186.33.19
17752;www.123finances.eu;123finances.eu;123finances.eu;213.186.33.19
